Event Type,Event Name,Event Text,Option 1 Good,Option 2 Neutral,Option 3 Evil
Insanity (Your),Read a Book / Have a Dream / Talk to the Storm,,,,
Insanity (Your),Shapes in the Mist,,,,
Insanity (Your),Deja vu,I've just been in this place before,,,
Insanity (Your),Fight Illusion,,,,
Insanity (Your),Create a tulpa,,,,
Insanity (Your),alt ending max insanity ur a part of the storm,,,,
,,,,,
Survivors,,,,,
,,,,,
,,,,,
You find land,,,,,
You find land,Storm civilization found,,,,
,,,,,
Bad omens,,,,,
Bad omens,Blood Rain,,,,
Bad omens,Green Mist,,,,
Bad omens,Screams in the Night,,,,
Bad omens,Dead Floting Fish,,,,
Bad omens,Blood Moon,,,,
Bad omens,Flock of Black birds,,,,
,,,,,
Special Events,,,,,
Special Events,Meet Leviathan,,,,
Special Events,Eye of the storm,Following your sister's directions you reach the Legendary Island called Eden.  Later revealed to be an illusion the same as your sister being a fabrication of the Storm itself. ,,,
,,,,,
Weather,,,,,
Weather,Very strong winds,,,,
Weather,No wind,,,,
Weather,Rought seas,,,,
Weather,Calm seas,,,,
Weather,Heavy Rain,,,,
Weather,A glimmer of sunshine,,,,
Weather,Thicc Mist,,,,
Weather,Aurora Borealis,,At this time of the year ! [+morale],At this part of the country ! [+morale],Localized entirely in this storm ?! [+morale]
Weather,Eclipse,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Legenda:,,,,,
s_heal = small amount of healt ,,,,,
s_food = small amount of food ,,,,,
s_morale = small amount of morale,,,,,
s_people = small amount of people,,,,,
,,,,,
m_heal = medium amount of healt,,,,,
m_food = medium amount of food,,,,,
m_morale = medium amount of morale,,,,,
m_people = medium amount of people,,,,,
,,,,,
l_heal = largeamount of healt ,,,,,
l_food = large amount of food ,,,,,
l_morale = large amount of morale,,,,,
l_people = large amount of people,,,,,
